theta, sigma
8.65, 1.35892
8.66, 1.35892
8.67, 1.35893
8.68, 1.35893
8.69, 1.35893
8.7, 1.35893
8.71, 1.35893
8.72, 1.35893
8.73, 1.35894
8.74, 1.35894
8.75, 1.35894
8.76, 1.35894
8.77, 1.35894
8.78, 1.35894
8.79, 1.35895
8.8, 1.35895
8.81, 1.35895
8.82, 1.35895
8.83, 1.35895
8.84, 1.35895
8.85, 1.35895
8.86, 1.35896
8.87, 1.35896
8.88, 1.35896
8.89, 1.35896
8.9, 1.35896
8.91, 1.35896
8.92, 1.35896
8.93, 1.35897
8.94, 1.35897
8.95, 1.35897
8.96, 1.35897
8.97, 1.35897
8.98, 1.35897
8.99, 1.35897
9, 1.35897
9.01, 1.35898
9.02, 1.35898
9.03, 1.35898
9.04, 1.35898
9.05, 1.35898
9.06, 1.35898
9.07, 1.35898
9.08, 1.35898
9.09, 1.35899
9.1, 1.35899
9.11, 1.35899
9.12, 1.35899
9.13, 1.35899
9.14, 1.35899
9.15, 1.35899
9.16, 1.35899
9.17, 1.35899
9.18, 1.359
9.19, 1.359
9.2, 1.359
9.21, 1.359
9.22, 1.359
9.23, 1.359
9.24, 1.359
9.25, 1.359
9.26, 1.359
9.27, 1.359
9.28, 1.359
9.29, 1.35901
9.3, 1.35901
9.31, 1.35901
9.32, 1.35901
9.33, 1.35901
9.34, 1.35901
9.35, 1.35901
9.36, 1.35901
9.37, 1.35901
9.38, 1.35901
9.39, 1.35901
9.4, 1.35902
9.41, 1.35902
9.42, 1.35902
9.43, 1.35902
9.44, 1.35902
9.45, 1.35902
9.46, 1.35902
9.47, 1.35902
9.48, 1.35902
9.49, 1.35902
9.5, 1.35902
9.51, 1.35902
9.52, 1.35902
9.53, 1.35903
9.54, 1.35903
9.55, 1.35903
9.56, 1.35903
9.57, 1.35903
9.58, 1.35903
9.59, 1.35903
9.6, 1.35903
9.61, 1.35903
9.62, 1.35903
9.63, 1.35903
9.64, 1.35903
9.65, 1.35903
9.66, 1.35903
9.67, 1.35904
9.68, 1.35904
9.69, 1.35904
9.7, 1.35904
9.71, 1.35904
9.72, 1.35904
9.73, 1.35904
9.74, 1.35904
9.75, 1.35904
9.76, 1.35904
9.77, 1.35904
9.78, 1.35904
9.79, 1.35904
9.8, 1.35904
9.81, 1.35904
9.82, 1.35904
9.83, 1.35904
9.84, 1.35904
9.85, 1.35905
9.86, 1.35905
9.87, 1.35905
