sigma, delta
8.82, 0.604168
8.83, 0.604225
8.84, 0.604282
8.85, 0.604339
8.86, 0.604396
8.87, 0.604452
8.88, 0.604508
8.89, 0.604564
8.9, 0.60462
8.91, 0.604676
8.92, 0.604731
8.93, 0.604786
8.94, 0.604841
8.95, 0.604896
8.96, 0.60495
8.97, 0.605005
8.98, 0.605059
8.99, 0.605112
9, 0.605166
9.01, 0.605219
9.02, 0.605273
9.03, 0.605326
9.04, 0.605379
9.05, 0.605431
9.06, 0.605484
9.07, 0.605536
9.08, 0.605588
9.09, 0.605639
9.1, 0.605691
9.11, 0.605742
9.12, 0.605794
9.13, 0.605845
9.14, 0.605895
9.15, 0.605946
9.16, 0.605996
9.17, 0.606047
9.18, 0.606097
9.19, 0.606146
9.2, 0.606196
9.21, 0.606245
9.22, 0.606295
9.23, 0.606344
9.24, 0.606393
9.25, 0.606441
9.26, 0.60649
9.27, 0.606538
9.28, 0.606586
9.29, 0.606634
9.3, 0.606682
9.31, 0.606729
9.32, 0.606777
9.33, 0.606824
9.34, 0.606871
9.35, 0.606918
9.36, 0.606964
9.37, 0.607011
9.38, 0.607057
9.39, 0.607103
9.4, 0.607149
9.41, 0.607195
9.42, 0.60724
9.43, 0.607286
9.44, 0.607331
9.45, 0.607376
9.46, 0.607421
9.47, 0.607465
9.48, 0.60751
9.49, 0.607554
9.5, 0.607598
9.51, 0.607642
9.52, 0.607686
9.53, 0.60773
9.54, 0.607773
9.55, 0.607816
9.56, 0.60786
9.57, 0.607903
9.58, 0.607945
9.59, 0.607988
9.6, 0.608031
9.61, 0.608073
9.62, 0.608115
9.63, 0.608157
9.64, 0.608199
9.65, 0.60824
9.66, 0.608282
9.67, 0.608323
9.68, 0.608364
9.69, 0.608406
9.7, 0.608446
9.71, 0.608487
9.72, 0.608528
9.73, 0.608568
9.74, 0.608608
9.75, 0.608648
9.76, 0.608688
9.77, 0.608728
9.78, 0.608768
9.79, 0.608807
9.8, 0.608846
9.81, 0.608886
9.82, 0.608925
9.83, 0.608963
9.84, 0.609002
9.85, 0.609041
9.86, 0.609079
9.87, 0.609117
9.88, 0.609155
9.89, 0.609193
9.9, 0.609231
9.91, 0.609269
9.92, 0.609306
9.93, 0.609344
9.94, 0.609381
9.95, 0.609418
9.96, 0.609455
9.97, 0.609492
9.98, 0.609529
9.99, 0.609565
10, 0.609602
10.01, 0.609638
10.02, 0.609674
10.03, 0.60971
10.04, 0.609746
10.05, 0.609781
10.06, 0.609817
10.07, 0.609852
10.08, 0.609888
10.09, 0.609923
10.1, 0.609958
10.11, 0.609993
10.12, 0.610027
10.13, 0.610062
10.14, 0.610096
10.15, 0.610131
10.16, 0.610165
10.17, 0.610199
10.18, 0.610233
10.19, 0.610267
10.2, 0.6103
10.21, 0.610334
10.22, 0.610367
10.23, 0.610401
10.24, 0.610434
10.25, 0.610467
10.26, 0.6105
10.27, 0.610532
10.28, 0.610565
10.29, 0.610598
10.3, 0.61063
10.31, 0.610662
10.32, 0.610694
10.33, 0.610727
10.34, 0.610758
10.35, 0.61079
10.36, 0.610822
10.37, 0.610853
10.38, 0.610885
10.39, 0.610916
10.4, 0.610947
10.41, 0.610978
10.42, 0.611009
10.43, 0.61104
10.44, 0.611071
10.45, 0.611101
10.46, 0.611132
10.47, 0.611162
10.48, 0.611192
10.49, 0.611222
10.5, 0.611252
10.51, 0.611282
10.52, 0.611312
10.53, 0.611342
10.54, 0.611371
10.55, 0.611401
10.56, 0.61143
10.57, 0.611459
10.58, 0.611488
10.59, 0.611517
10.6, 0.611546
10.61, 0.611575
10.62, 0.611604
10.63, 0.611632
10.64, 0.61166
10.65, 0.611689
10.66, 0.611717
10.67, 0.611745
10.68, 0.611773
10.69, 0.611801
10.7, 0.611829
10.71, 0.611856
10.72, 0.611884
10.73, 0.611911
10.74, 0.611939
10.75, 0.611966
10.76, 0.611993
10.77, 0.61202
10.78, 0.612047
10.79, 0.612074
10.8, 0.612101
10.81, 0.612127
10.82, 0.612154
10.83, 0.61218
10.84, 0.612206
10.85, 0.612233
10.86, 0.612259
10.87, 0.612285
10.88, 0.612311
10.89, 0.612336
10.9, 0.612362
10.91, 0.612388
10.92, 0.612413
10.93, 0.612439
10.94, 0.612464
10.95, 0.612489
10.96, 0.612514
10.97, 0.612539
10.98, 0.612564
10.99, 0.612589
11, 0.612614
11.01, 0.612638
11.02, 0.612663
11.03, 0.612687
11.04, 0.612712
11.05, 0.612736
11.06, 0.61276
11.07, 0.612784
11.08, 0.612808
11.09, 0.612832
11.1, 0.612856
11.11, 0.61288
11.12, 0.612903
11.13, 0.612927
11.14, 0.61295
11.15, 0.612974
11.16, 0.612997
11.17, 0.61302
11.18, 0.613043
11.19, 0.613066
11.2, 0.613089
11.21, 0.613112
11.22, 0.613135
11.23, 0.613157
11.24, 0.61318
11.25, 0.613202
11.26, 0.613225
11.27, 0.613247
11.28, 0.613269
11.29, 0.613291
11.3, 0.613313
11.31, 0.613335
11.32, 0.613357
11.33, 0.613379
11.34, 0.613401
11.35, 0.613422
11.36, 0.613444
11.37, 0.613465
11.38, 0.613487
11.39, 0.613508
11.4, 0.613529
11.41, 0.61355
11.42, 0.613571
11.43, 0.613592
11.44, 0.613613
11.45, 0.613634
11.46, 0.613655
11.47, 0.613675
11.48, 0.613696
11.49, 0.613716
11.5, 0.613737
11.51, 0.613757
11.52, 0.613777
11.53, 0.613798
11.54, 0.613818
11.55, 0.613838
11.56, 0.613858
11.57, 0.613878
11.58, 0.613897
11.59, 0.613917
11.6, 0.613937
11.61, 0.613956
11.62, 0.613976
11.63, 0.613995
11.64, 0.614014
11.65, 0.614034
11.66, 0.614053
11.67, 0.614072
11.68, 0.614091
11.69, 0.61411
11.7, 0.614129
11.71, 0.614148
11.72, 0.614167
11.73, 0.614185
11.74, 0.614204
11.75, 0.614222
11.76, 0.614241
11.77, 0.614259
11.78, 0.614278
11.79, 0.614296
11.8, 0.614314
11.81, 0.614332
11.82, 0.61435
11.83, 0.614368
11.84, 0.614386
11.85, 0.614404
11.86, 0.614422
11.87, 0.614439
11.88, 0.614457
11.89, 0.614475
11.9, 0.614492
11.91, 0.61451
11.92, 0.614527
11.93, 0.614544
11.94, 0.614561
11.95, 0.614579
11.96, 0.614596
11.97, 0.614613
11.98, 0.61463
11.99, 0.614647
12, 0.614664
12.01, 0.61468
12.02, 0.614697
12.03, 0.614714
12.04, 0.61473
12.05, 0.614747
12.06, 0.614763
12.07, 0.61478
12.08, 0.614796
12.09, 0.614812
12.1, 0.614828
12.11, 0.614845
12.12, 0.614861
12.13, 0.614877
12.14, 0.614893
12.15, 0.614909
12.16, 0.614924
12.17, 0.61494
12.18, 0.614956
12.19, 0.614972
12.2, 0.614987
12.21, 0.615003
12.22, 0.615018
12.23, 0.615034
12.24, 0.615049
12.25, 0.615064
12.26, 0.61508
12.27, 0.615095
12.28, 0.61511
12.29, 0.615125
12.3, 0.61514
12.31, 0.615155
12.32, 0.61517
12.33, 0.615185
12.34, 0.615199
12.35, 0.615214
12.36, 0.615229
12.37, 0.615243
12.38, 0.615258
12.39, 0.615273
12.4, 0.615287
12.41, 0.615301
12.42, 0.615316
12.43, 0.61533
12.44, 0.615344
12.45, 0.615358
12.46, 0.615373
12.47, 0.615387
12.48, 0.615401
12.49, 0.615415
12.5, 0.615428
12.51, 0.615442
12.52, 0.615456
12.53, 0.61547
12.54, 0.615484
12.55, 0.615497
12.56, 0.615511
12.57, 0.615524
12.58, 0.615538
12.59, 0.615551
12.6, 0.615565
12.61, 0.615578
12.62, 0.615591
12.63, 0.615605
12.64, 0.615618
12.65, 0.615631
12.66, 0.615644
12.67, 0.615657
12.68, 0.61567
12.69, 0.615683
12.7, 0.615696
12.71, 0.615709
12.72, 0.615721
12.73, 0.615734
12.74, 0.615747
12.75, 0.615759
12.76, 0.615772
12.77, 0.615785
12.78, 0.615797
12.79, 0.615809
12.8, 0.615822
12.81, 0.615834
12.82, 0.615846
12.83, 0.615859
12.84, 0.615871
12.85, 0.615883
12.86, 0.615895
12.87, 0.615907
12.88, 0.615919
12.89, 0.615931
12.9, 0.615943
12.91, 0.615955
12.92, 0.615967
12.93, 0.615979
12.94, 0.61599
12.95, 0.616002
12.96, 0.616014
12.97, 0.616025
12.98, 0.616037
12.99, 0.616049
13, 0.61606
13.01, 0.616071
13.02, 0.616083
13.03, 0.616094
13.04, 0.616106
13.05, 0.616117
13.06, 0.616128
13.07, 0.616139
13.08, 0.61615
13.09, 0.616161
13.1, 0.616172
13.11, 0.616184
13.12, 0.616194
13.13, 0.616205
13.14, 0.616216
13.15, 0.616227
13.16, 0.616238
13.17, 0.616249
13.18, 0.616259
13.19, 0.61627
13.2, 0.616281
13.21, 0.616291
13.22, 0.616302
13.23, 0.616312
13.24, 0.616323
13.25, 0.616333
13.26, 0.616344
13.27, 0.616354
13.28, 0.616364
13.29, 0.616375
13.3, 0.616385
13.31, 0.616395
13.32, 0.616405
13.33, 0.616415
13.34, 0.616425
13.35, 0.616435
13.36, 0.616445
13.37, 0.616455
13.38, 0.616465
13.39, 0.616475
13.4, 0.616485
13.41, 0.616495
13.42, 0.616505
13.43, 0.616514
13.44, 0.616524
13.45, 0.616534
13.46, 0.616543
13.47, 0.616553
13.48, 0.616563
13.49, 0.616572
13.5, 0.616582
13.51, 0.616591
13.52, 0.6166
13.53, 0.61661
13.54, 0.616619
13.55, 0.616628
13.56, 0.616638
13.57, 0.616647
13.58, 0.616656
13.59, 0.616665
13.6, 0.616674
13.61, 0.616684
13.62, 0.616693
13.63, 0.616702
13.64, 0.616711
13.65, 0.61672
13.66, 0.616729
13.67, 0.616737
13.68, 0.616746
13.69, 0.616755
13.7, 0.616764
13.71, 0.616773
13.72, 0.616781
13.73, 0.61679
13.74, 0.616799
13.75, 0.616807
13.76, 0.616816
13.77, 0.616824
13.78, 0.616833
13.79, 0.616841
13.8, 0.61685
13.81, 0.616858
13.82, 0.616867
13.83, 0.616875
13.84, 0.616883
13.85, 0.616892
13.86, 0.6169
13.87, 0.616908
13.88, 0.616916
13.89, 0.616925
13.9, 0.616933
13.91, 0.616941
13.92, 0.616949
13.93, 0.616957
13.94, 0.616965
13.95, 0.616973
13.96, 0.616981
13.97, 0.616989
